estate_address,city,rent,completion,room,room_size,structure
栃木県足利市家富町,足利市,73000,1974-3-1,3LDK,115.6,RC(鉄筋コンクリート造)
群馬県高崎市剣崎町,高崎市,40000,1974-3-1,2SDK,66,木造
栃木県足利市大前町,足利市,30000,1974-4-1,2K,30,木造
栃木県足利市大前町,足利市,35000,1974-4-1,2K,30,木造
群馬県伊勢崎市豊城町,伊勢崎市,30000,1974-6-30,2K,37.26,木造
群馬県高崎市上豊岡町,高崎市,45000,1975-1-1,2K,36.37,木造
栃木県足利市五十部町,足利市,30000,1975-1-1,2DK,34.7,木造
群馬県前橋市箱田町,前橋市,45000,1975-1-1,2K,39.6,木造
群馬県高崎市飯塚町,高崎市,40000,1975-1-1,3DK,42.9,RC(鉄筋コンクリート造)
群馬県前橋市天川原町,前橋市,50000,1975-1-1,3DK,41.25,木造
群馬県高崎市飯塚町,高崎市,45000,1975-1-1,2LDK,42.9,RC(鉄筋コンクリート造)
栃木県足利市永楽町,足利市,46000,1975-3-1,2DK,29.24,木造
群馬県前橋市城東町2丁目,前橋市,19000,1975-12-17,1K,22.23,鉄骨造
群馬県前橋市城東町2丁目,前橋市,20000,1975-12-17,1K,19.8,鉄骨造
群馬県前橋市文京町1丁目,前橋市,30000,1976-1-1,2K,29.81,木造
群馬県前橋市文京町1丁目,前橋市,40000,1976-1-1,2K,29.81,木造
群馬県伊勢崎市連取町,伊勢崎市,40000,1976-2-1,3K,45,木造
栃木県足利市大前町,足利市,35000,1976-3-1,2K,30,木造
栃木県足利市大前町,足利市,40000,1976-3-1,3K,43.8,木造
群馬県太田市岩松町,太田市,48000,1976-4-1,2DK,48.6,RC(鉄筋コンクリート造)
群馬県太田市岩松町,太田市,48000,1976-4-1,2DK,48.6,RC(鉄筋コンクリート造)
群馬県太田市岩松町,太田市,48000,1976-4-1,2DK,48.6,RC(鉄筋コンクリート造)
群馬県太田市岩松町,太田市,48000,1976-4-1,2DK,48.6,RC(鉄筋コンクリート造)
群馬県太田市岩松町,太田市,48000,1976-4-1,2DK,48.6,RC(鉄筋コンクリート造)
群馬県太田市岩松町,太田市,48000,1976-4-1,2DK,48.6,RC(鉄筋コンクリート造)
群馬県太田市岩松町,太田市,48000,1976-4-1,2DK,48.6,RC(鉄筋コンクリート造)
群馬県高崎市乗附町,高崎市,70000,1976-6-1,4DK,178.86,木造
群馬県前橋市平和町1丁目,前橋市,42000,1976-12-28,2DK,40.59,RC(鉄筋コンクリート造)
群馬県前橋市平和町1丁目,前橋市,42000,1976-12-28,2DK,40.59,RC(鉄筋コンクリート造)
群馬県前橋市下小出町2丁目,前橋市,45000,1977-1-1,2K,39.66,木造
群馬県前橋市下小出町2丁目,前橋市,45000,1977-1-1,2DK,40.43,木造
群馬県高崎市大八木町,高崎市,28000,1977-1-1,2K,30.69,軽量鉄骨造
群馬県前橋市南町3丁目,前橋市,50000,1977-3-29,2DK,39.67,鉄骨造
群馬県前橋市朝倉町4丁目,前橋市,65000,1977-9-1,5DK,84.25,木造
群馬県高崎市常盤町,高崎市,40000,1977-11-1,2DK,36.43,RC(鉄筋コンクリート造)
群馬県太田市大島町,太田市,50000,1977-12-1,3K,53.63,RC(鉄筋コンクリート造)
群馬県太田市大島町,太田市,50000,1977-12-1,3K,51.03,RC(鉄筋コンクリート造)
群馬県太田市大島町,太田市,50000,1977-12-1,3K,53.02,RC(鉄筋コンクリート造)
群馬県高崎市中泉町,高崎市,47000,1978-1-1,3DK,51.26,RC(鉄筋コンクリート造)
群馬県高崎市下佐野町,高崎市,36000,1978-1-1,2DK,36.79,木造
群馬県前橋市三俣町1丁目,前橋市,42000,1978-1-1,2K,34.37,RC(鉄筋コンクリート造)
栃木県足利市大町,足利市,50000,1978-4-1,2LDK,52,木造
群馬県伊勢崎市寿町,伊勢崎市,45000,1978-11-1,2LDK,58.05,RC(鉄筋コンクリート造)
群馬県伊勢崎市寿町,伊勢崎市,47000,1978-11-1,2LDK,58.05,RC(鉄筋コンクリート造)
群馬県太田市東本町,太田市,30000,1978-11-1,1K,20,木造
群馬県伊勢崎市寿町,伊勢崎市,45000,1978-11-1,3DK,58.05,RC(鉄筋コンクリート造)
群馬県伊勢崎市寿町,伊勢崎市,49000,1978-11-1,2LDK,58.05,RC(鉄筋コンクリート造)
群馬県伊勢崎市寿町,伊勢崎市,43000,1978-11-1,3DK,58.05,RC(鉄筋コンクリート造)
群馬県高崎市飯塚町,高崎市,39000,1978-12-1,2K,34.92,RC(鉄筋コンクリート造)
群馬県高崎市八千代町2丁目,高崎市,44000,1979-1-1,3DK,59.49,木造
群馬県前橋市朝倉町1丁目,前橋市,52000,1979-1-1,3DK,46.37,RC(鉄筋コンクリート造)
群馬県高崎市八千代町2丁目,高崎市,44000,1979-1-1,3DK,59.49,木造
群馬県高崎市昭和町,高崎市,74000,1979-1-1,1LDK,59.85,SRC(鉄骨鉄筋コンクリート)
群馬県前橋市朝倉町1丁目,前橋市,52000,1979-1-1,3DK,46.37,RC(鉄筋コンクリート造)
群馬県みどり市笠懸町鹿,みどり市,35000,1979-4-1,3K,49.5,木造
群馬県みどり市笠懸町鹿,みどり市,35000,1979-4-1,3K,49.5,木造
群馬県みどり市笠懸町鹿,みどり市,35000,1979-4-1,3K,49.5,木造
群馬県桐生市宮前町2丁目,桐生市,39000,1979-5-1,3DK,61.88,RC(鉄筋コンクリート造)
群馬県前橋市山王町2丁目,前橋市,35000,1979-9-30,2K,35,鉄骨造
群馬県高崎市貝沢町,高崎市,42000,1979-10-1,3DK,50.41,RC(鉄筋コンクリート造)
群馬県高崎市貝沢町,高崎市,42000,1979-10-1,3DK,50.41,RC(鉄筋コンクリート造)
群馬県高崎市双葉町,高崎市,28000,1980-1-1,1K,21.8,木造
群馬県高崎市飯塚町,高崎市,30000,1980-1-1,1K,18.63,木造
群馬県高崎市飯塚町,高崎市,30000,1980-1-1,1K,18.63,木造
栃木県足利市山川町,足利市,42000,1980-1-1,2K,39.31,木造
栃木県足利市山川町,足利市,35000,1980-1-1,3K,44.62,木造
群馬県高崎市双葉町,高崎市,25000,1980-1-1,1K,21.8,木造
栃木県足利市山川町,足利市,38000,1980-1-1,3DK,49.59,木造
群馬県高崎市八千代町1丁目,高崎市,50000,1980-1-1,2LDK,50.2,SRC(鉄骨鉄筋コンクリート)
群馬県高崎市飯塚町,高崎市,31000,1980-1-1,1K,18.63,木造
群馬県前橋市六供町1丁目,前橋市,50000,1980-1-1,3DK,51.84,RC(鉄筋コンクリート造)
群馬県高崎市飯塚町,高崎市,31000,1980-1-1,1K,18.63,木造
群馬県高崎市双葉町,高崎市,60000,1980-1-1,3K,50,木造
群馬県高崎市飯塚町,高崎市,30000,1980-1-1,1K,18.63,木造
栃木県足利市山川町,足利市,35000,1980-1-1,2DK,47.93,木造
群馬県高崎市飯塚町,高崎市,30000,1980-1-1,1K,18.63,木造
群馬県前橋市朝日町1丁目,前橋市,35000,1980-1-1,2K,37.19,鉄骨造
栃木県足利市山川町,足利市,40000,1980-1-1,2K,39.31,木造
群馬県前橋市山王町1丁目,前橋市,39000,1980-1-1,1K,28,鉄骨造
群馬県高崎市飯塚町,高崎市,29000,1980-1-1,1K,18.63,木造
群馬県伊勢崎市茂呂町2丁目,伊勢崎市,45000,1980-2-1,3DK,44.75,木造
群馬県高崎市石原町,高崎市,35000,1980-3-1,3DK,51.03,鉄骨造
群馬県高崎市下佐野町,高崎市,34000,1980-3-1,2DK,34.02,鉄骨造
群馬県高崎市下佐野町,高崎市,35000,1980-3-1,2DK,34.02,鉄骨造
群馬県高崎市新後閑町,高崎市,55000,1980-3-1,2LDK,54.65,RC(鉄筋コンクリート造)
群馬県高崎市石原町,高崎市,39000,1980-3-1,3DK,51.03,鉄骨造
群馬県前橋市日吉町3丁目,前橋市,50000,1980-5-1,2DK,43.74,RC(鉄筋コンクリート造)
群馬県高崎市八千代町2丁目,高崎市,55000,1980-8-1,3DK,64.05,鉄骨造
群馬県高崎市八千代町2丁目,高崎市,57000,1980-8-1,3DK,64.05,鉄骨造
群馬県高崎市宮元町,高崎市,50000,1981-1-1,2DK,55.48,RC(鉄筋コンクリート造)
群馬県高崎市並榎町,高崎市,48000,1981-1-1,3DK,46,軽量鉄骨造
群馬県前橋市上新田町,前橋市,30000,1981-1-1,2K,27.88,軽量鉄骨造
群馬県前橋市日吉町2丁目,前橋市,44000,1981-1-1,2K,33,鉄骨造
群馬県前橋市上小出町3丁目,前橋市,45000,1981-1-1,2DK,48.6,鉄骨造
群馬県前橋市下石倉町,前橋市,40000,1981-1-1,2K,29.7,鉄骨造
栃木県足利市山川町,足利市,40000,1981-1-1,3DK,49.59,木造
群馬県前橋市上小出町3丁目,前橋市,45000,1981-1-1,2DK,48.6,鉄骨造
群馬県前橋市西片貝町5丁目,前橋市,45000,1981-2-1,3K,41.58,RC(鉄筋コンクリート造)
群馬県高崎市上中居町,高崎市,51000,1981-3-1,2LDK,44.2,軽量鉄骨造
群馬県前橋市岩神町4丁目,前橋市,40000,1981-3-1,1DK,26.4,鉄骨造
群馬県高崎市上中居町,高崎市,38000,1981-3-1,3DK,44.2,軽量鉄骨造
群馬県前橋市岩神町4丁目,前橋市,40000,1981-3-1,1DK,26.4,鉄骨造
群馬県太田市新田木崎町,太田市,51000,1981-4-1,2DK,51.8,RC(鉄筋コンクリート造)
群馬県高崎市昭和町,高崎市,25000,1981-8-1,1K,23.77,軽量鉄骨造
群馬県高崎市昭和町,高崎市,25000,1981-8-1,1K,23.77,軽量鉄骨造
栃木県足利市通4丁目,足利市,25000,1981-10-1,1K,21.2,軽量鉄骨造
群馬県前橋市元総社町,前橋市,38000,1981-11-1,1K,26.5,鉄骨造
群馬県前橋市元総社町,前橋市,31000,1981-11-1,1K,20,鉄骨造
群馬県前橋市元総社町,前橋市,50000,1981-11-1,2K,38.5,鉄骨造
群馬県桐生市東5丁目,桐生市,42000,1981-12-1,2DK,35.4,軽量鉄骨造
群馬県桐生市東5丁目,桐生市,42000,1981-12-1,2DK,35.4,軽量鉄骨造
群馬県桐生市東5丁目,桐生市,41000,1981-12-1,2DK,35.4,軽量鉄骨造
群馬県桐生市東5丁目,桐生市,41000,1981-12-1,2DK,35.4,軽量鉄骨造
群馬県桐生市東5丁目,桐生市,41000,1981-12-1,2DK,35.4,軽量鉄骨造
群馬県桐生市東5丁目,桐生市,42000,1981-12-1,2DK,35.4,軽量鉄骨造
群馬県桐生市東5丁目,桐生市,40000,1981-12-1,2DK,35.4,軽量鉄骨造
群馬県前橋市荒牧町,前橋市,20000,1982-1-1,1K,22.28,木造
群馬県前橋市荒牧町,前橋市,20000,1982-1-1,1K,22.28,木造
群馬県前橋市南町3丁目,前橋市,57000,1982-1-1,1DK,33.85,RC(鉄筋コンクリート造)
群馬県前橋市上小出町2丁目,前橋市,45000,1982-1-1,2DK,46,RC(鉄筋コンクリート造)
群馬県高崎市飯塚町,高崎市,34000,1982-1-1,1DK,30.69,軽量鉄骨造
群馬県前橋市上小出町2丁目,前橋市,45000,1982-1-1,2DK,46,RC(鉄筋コンクリート造)
栃木県足利市上渋垂町,足利市,40000,1982-2-1,2DK,40.58,軽量鉄骨造
栃木県足利市五十部町,足利市,28000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
群馬県高崎市並榎町,高崎市,26000,1982-3-1,1DK,23.18,木造
栃木県足利市五十部町,足利市,30000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
栃木県足利市五十部町,足利市,27000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
栃木県足利市五十部町,足利市,27000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
栃木県足利市五十部町,足利市,28000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
栃木県足利市五十部町,足利市,28000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
栃木県足利市五十部町,足利市,27000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
栃木県足利市五十部町,足利市,29000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
栃木県足利市五十部町,足利市,26000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
群馬県前橋市城東町2丁目,前橋市,45000,1982-3-1,2LDK,54.28,RC(鉄筋コンクリート造)
群馬県前橋市城東町2丁目,前橋市,35000,1982-3-1,1K,27.08,RC(鉄筋コンクリート造)
栃木県足利市五十部町,足利市,30000,1982-3-1,3LDK,66.95,RC(鉄筋コンクリート造)
栃木県足利市五十部町,足利市,28000,1982-3-1,3LDK,56.65,RC(鉄筋コンクリート造)
群馬県桐生市織姫町,桐生市,53000,1982-4-1,3DK,64.89,RC(鉄筋コンクリート造)
群馬県太田市台之郷町,太田市,38000,1982-4-1,1LDK,35.64,鉄骨造
群馬県高崎市下小鳥町,高崎市,55000,1982-4-1,3DK,51.98,木造
群馬県桐生市織姫町,桐生市,43000,1982-4-1,2DK,47.52,RC(鉄筋コンクリート造)
群馬県太田市台之郷町,太田市,38000,1982-4-1,1LDK,35.64,鉄骨造
群馬県高崎市城山町2丁目,高崎市,50000,1982-6-1,3DK,67.07,木造
群馬県桐生市堤町1丁目,桐生市,30000,1982-6-20,2DK,44.05,鉄骨造
群馬県桐生市堤町1丁目,桐生市,30000,1982-6-20,2DK,44.05,鉄骨造
群馬県前橋市三俣町2丁目,前橋市,40000,1982-9-1,2DK,40,RC(鉄筋コンクリート造)
群馬県高崎市井野町,高崎市,90000,1982-9-16,6DK,125.04,木造
群馬県前橋市南町3丁目,前橋市,72000,1982-11-1,3LDK,66.8,RC(鉄筋コンクリート造)
群馬県館林市諏訪町,館林市,42000,1982-11-1,3DK,49.61,軽量鉄骨造
栃木県足利市朝倉町3丁目,足利市,47000,1982-11-1,2DK,39.6,軽量鉄骨造
栃木県足利市朝倉町3丁目,足利市,45000,1982-11-1,2DK,39.3,軽量鉄骨造
群馬県前橋市南町3丁目,前橋市,72000,1982-11-1,2LDK,66.8,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,1SLDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,42000,1982-12-1,2LDK,53.41,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,2LDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,38000,1982-12-1,2LDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,1SLDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,38000,1982-12-1,2LDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,2LDK,49.68,RC(鉄筋コンクリート造)
群馬県高崎市上和田町,高崎市,70000,1982-12-1,2LDK,54.65,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,1SLDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,1SLDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,38000,1982-12-1,2LDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,2LDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,2LDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,42000,1982-12-1,2LDK,53.41,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,38000,1982-12-1,2LDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,1SLDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,1SLDK,49.68,RC(鉄筋コンクリート造)
群馬県邑楽郡大泉町大字古氷,邑楽郡,39000,1982-12-1,1SLDK,49.68,RC(鉄筋コンクリート造)
群馬県高崎市上和田町,高崎市,70000,1982-12-1,2LDK,54.65,RC(鉄筋コンクリート造)
群馬県前橋市石倉町1丁目,前橋市,30000,1983-1-1,2K,33,木造
群馬県前橋市石倉町1丁目,前橋市,30000,1983-1-1,1DK,26,木造
群馬県前橋市六供町,前橋市,50000,1983-1-1,1DK,44,RC(鉄筋コンクリート造)
群馬県高崎市末広町,高崎市,50000,1983-1-1,1LDK,45.09,鉄骨造
栃木県足利市大前町,足利市,46000,1983-1-1,3DK,52.13,木造
栃木県足利市山下町,足利市,45000,1983-1-1,3DK,49.6,軽量鉄骨造
群馬県太田市藪塚町,太田市,80000,1983-1-1,3LDK,100,木造
群馬県前橋市六供町,前橋市,35000,1983-1-1,1DK,33,RC(鉄筋コンクリート造)
群馬県前橋市西片貝町1丁目,前橋市,46000,1983-1-1,3K,48.6,鉄骨造
栃木県足利市大前町,足利市,46000,1983-1-1,3DK,52.13,木造
群馬県高崎市南町,高崎市,30000,1983-1-1,1K,22.2,鉄骨造
群馬県高崎市末広町,高崎市,57000,1983-1-1,1K,43.65,鉄骨造
群馬県前橋市六供町,前橋市,45000,1983-1-1,2DK,44,RC(鉄筋コンクリート造)
群馬県高崎市江木町,高崎市,54000,1983-2-1,3DK,56.18,RC(鉄筋コンクリート造)
群馬県高崎市聖石町,高崎市,38000,1983-3-1,1DK,23,鉄骨造
群馬県高崎市井野町,高崎市,22000,1983-3-1,1K,18.57,木造
群馬県高崎市山田町,高崎市,23000,1983-3-1,1K,19.94,木造
群馬県前橋市天川原町1丁目,前橋市,44000,1983-3-1,2DK,39.66,鉄骨造
群馬県前橋市天川原町1丁目,前橋市,43000,1983-3-1,2DK,39.66,鉄骨造
群馬県高崎市片岡町1丁目,高崎市,27000,1983-4-1,1K,20.15,鉄骨造
群馬県前橋市堤町,前橋市,50000,1983-4-1,4LDK,76.18,木造
群馬県高崎市高砂町,高崎市,46000,1983-4-1,2K,35.59,RC(鉄筋コンクリート造)
群馬県高崎市高砂町,高崎市,58000,1983-4-1,3DK,62.39,RC(鉄筋コンクリート造)
群馬県高崎市片岡町1丁目,高崎市,26000,1983-4-1,1K,20.15,鉄骨造
群馬県桐生市東1丁目,桐生市,13000,1983-4-1,1R,14.4,鉄骨造
群馬県桐生市東1丁目,桐生市,13000,1983-4-1,1R,14.4,鉄骨造
群馬県桐生市東1丁目,桐生市,13000,1983-4-1,1R,14.4,鉄骨造
群馬県太田市鳥山中町,太田市,35000,1983-5-1,2K,30.91,軽量鉄骨造
群馬県太田市鳥山中町,太田市,35000,1983-5-1,2K,30.91,軽量鉄骨造
群馬県太田市鳥山中町,太田市,35000,1983-5-1,2K,30.91,軽量鉄骨造
群馬県館林市松原2丁目,館林市,40000,1983-5-1,3DK,47.21,軽量鉄骨造
群馬県太田市鳥山中町,太田市,35000,1983-5-1,2K,30.91,軽量鉄骨造
群馬県館林市大谷町,館林市,27000,1983-8-1,1K,20.24,軽量鉄骨造
群馬県前橋市天川大島町1丁目,前橋市,50000,1983-9-1,2DK,38.88,鉄骨造
栃木県足利市鹿島町,足利市,39000,1983-10-1,3DK,58,RC(鉄筋コンクリート造)
群馬県伊勢崎市太田町,伊勢崎市,70000,1983-11-24,3LDK,84.82,鉄骨造
群馬県前橋市南町2丁目,前橋市,53000,1984-1-1,1LDK,49.6,RC(鉄筋コンクリート造)
群馬県伊勢崎市柴町,伊勢崎市,45000,1984-1-1,3K,39.66,木造
栃木県足利市鹿島町,足利市,21000,1984-1-1,1K,19.77,木造
栃木県足利市鹿島町,足利市,18000,1984-1-1,1K,19.77,木造
群馬県前橋市六供町,前橋市,78000,1984-1-1,2LDK,67.24,その他
群馬県高崎市井野町,高崎市,35000,1984-1-1,3K,42.14,木造
群馬県高崎市片岡町2丁目,高崎市,40000,1984-1-1,3DK,52,軽量鉄骨造
群馬県前橋市南町2丁目,前橋市,48000,1984-1-1,2LDK,49.6,RC(鉄筋コンクリート造)
群馬県桐生市広沢町5丁目,桐生市,50000,1984-1-19,1SLDK,58.88,RC(鉄筋コンクリート造)
群馬県桐生市広沢町5丁目,桐生市,50000,1984-1-19,1LDK,53.03,RC(鉄筋コンクリート造)
群馬県桐生市広沢町5丁目,桐生市,50000,1984-1-19,2LDK,58.88,RC(鉄筋コンクリート造)
群馬県桐生市広沢町5丁目,桐生市,50000,1984-1-19,1LDK,53.03,RC(鉄筋コンクリート造)
群馬県桐生市広沢町5丁目,桐生市,50000,1984-1-19,2LDK,58.88,RC(鉄筋コンクリート造)
群馬県高崎市上中居町,高崎市,53000,1984-2-1,2DK,41,RC(鉄筋コンクリート造)
群馬県高崎市緑町2丁目,高崎市,43000,1984-2-1,3DK,47.86,軽量鉄骨造
栃木県足利市堀込町,足利市,47000,1984-3-1,3DK,48.6,軽量鉄骨造
群馬県前橋市下沖町,前橋市,37000,1984-3-1,2K,29.81,鉄骨造
群馬県前橋市下沖町,前橋市,38000,1984-3-1,2K,29.81,鉄骨造
群馬県伊勢崎市八斗島町,伊勢崎市,37000,1984-3-1,2DK,34.78,木造
群馬県前橋市岩神町3丁目,前橋市,40000,1984-3-1,2K,28.33,鉄骨造
群馬県高崎市昭和町,高崎市,55000,1984-3-1,2LDK,63,RC(鉄筋コンクリート造)
栃木県足利市今福町,足利市,45000,1984-3-1,3DK,46.66,木造
栃木県足利市堀込町,足利市,47000,1984-3-1,2DK,38.88,軽量鉄骨造
群馬県館林市松原3丁目,館林市,45000,1984-3-1,3DK,61.49,軽量鉄骨造
栃木県足利市伊勢町4丁目,足利市,43000,1984-3-1,3DK,44.6,木造
群馬県伊勢崎市八斗島町,伊勢崎市,37000,1984-3-1,2DK,34.78,木造
群馬県前橋市岩神町3丁目,前橋市,41000,1984-3-1,2K,28.33,鉄骨造
群馬県前橋市岩神町3丁目,前橋市,40000,1984-3-1,2K,28.33,鉄骨造
群馬県伊勢崎市山王町,伊勢崎市,40000,1984-4-1,3DK,46.31,軽量鉄骨造
群馬県伊勢崎市茂呂町2丁目,伊勢崎市,43000,1984-4-1,3DK,46.31,軽量鉄骨造
群馬県伊勢崎市山王町,伊勢崎市,40000,1984-4-1,3DK,46.31,軽量鉄骨造
群馬県高崎市東町,高崎市,29000,1984-4-1,1K,22,鉄骨造
群馬県高崎市東町,高崎市,29000,1984-4-1,1K,22,鉄骨造
群馬県前橋市南町3丁目,前橋市,33000,1984-4-1,1DK,19.25,鉄骨造
群馬県前橋市下小出町1丁目,前橋市,65000,1984-4-1,3DK,57.5,RC(鉄筋コンクリート造)
群馬県伊勢崎市茂呂町2丁目,伊勢崎市,43000,1984-4-1,3DK,46.31,軽量鉄骨造
群馬県高崎市東町,高崎市,29000,1984-4-1,1K,22,鉄骨造
群馬県高崎市東町,高崎市,39000,1984-4-1,2DK,44,鉄骨造
群馬県伊勢崎市山王町,伊勢崎市,40000,1984-4-1,3DK,46.31,軽量鉄骨造
群馬県前橋市南町3丁目,前橋市,29000,1984-4-1,1DK,19.25,鉄骨造
群馬県伊勢崎市八斗島町,伊勢崎市,36000,1984-4-1,2DK,35.3,軽量鉄骨造
群馬県伊勢崎市宮前町,伊勢崎市,45000,1984-4-1,3DK,46.31,軽量鉄骨造
群馬県前橋市下沖町,前橋市,40000,1984-4-1,2K,27.33,軽量鉄骨造
栃木県足利市堀込町,足利市,55000,1984-4-1,3LDK,61.29,RC(鉄筋コンクリート造)
群馬県伊勢崎市八斗島町,伊勢崎市,29000,1984-4-1,1DK,20,軽量鉄骨造
群馬県伊勢崎市八斗島町,伊勢崎市,29000,1984-4-1,1DK,20,軽量鉄骨造
群馬県伊勢崎市宮前町,伊勢崎市,45000,1984-4-1,3DK,46.31,軽量鉄骨造
群馬県伊勢崎市山王町,伊勢崎市,38000,1984-4-1,2LDK,46.31,軽量鉄骨造
群馬県伊勢崎市八斗島町,伊勢崎市,29000,1984-4-1,1DK,20,軽量鉄骨造
群馬県高崎市飯塚町,高崎市,33000,1984-4-1,1R,24,RC(鉄筋コンクリート造)
群馬県高崎市飯塚町,高崎市,28000,1984-4-1,1R,24,RC(鉄筋コンクリート造)
群馬県高崎市東町,高崎市,29000,1984-4-1,1K,22,鉄骨造
群馬県前橋市龍蔵寺町,前橋市,70000,1984-5-29,4SLDK,90.25,木造
群馬県高崎市片岡町2丁目,高崎市,45000,1984-6-1,2LDK,59.4,軽量鉄骨造
栃木県足利市五十部町,足利市,32000,1984-6-15,2DK,41.58,軽量鉄骨造
群馬県前橋市元総社町,前橋市,56000,1984-7-1,2LDK,54.54,RC(鉄筋コンクリート造)
群馬県前橋市元総社町,前橋市,55000,1984-7-1,2LDK,54.54,RC(鉄筋コンクリート造)
群馬県前橋市西片貝町5丁目,前橋市,60000,1984-7-1,2LDK,62.7,RC(鉄筋コンクリート造)
群馬県前橋市西片貝町5丁目,前橋市,60000,1984-7-1,2LDK,62.7,RC(鉄筋コンクリート造)
群馬県前橋市西片貝町5丁目,前橋市,60000,1984-7-1,2LDK,62.7,RC(鉄筋コンクリート造)
群馬県伊勢崎市福島町,伊勢崎市,32000,1984-7-1,1R,20,木造
群馬県伊勢崎市東本町,伊勢崎市,51000,1984-7-1,2LDK,56.41,RC(鉄筋コンクリート造)
群馬県伊勢崎市福島町,伊勢崎市,29000,1984-7-1,1R,20,木造
群馬県前橋市大友町3丁目,前橋市,31000,1984-8-1,1K,23,木造
群馬県前橋市大友町3丁目,前橋市,32000,1984-8-1,1K,23,木造
群馬県前橋市大友町3丁目,前橋市,30000,1984-8-1,1K,23,木造
